Name of State / UT,Total Confirmed cases* ,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude,Total cases,Active cases
Andaman and Nicobar Islands,33,33,0,2020-05-29,11.7401,92.6586,33,0
Andhra Pradesh,3251,2125,59,2020-05-29,15.9129,79.74,3251,1067
Arunachal Pradesh,3,1,0,2020-05-29,28.218000000000004,94.7278,3,2
Assam,856,104,4,2020-05-29,26.2006,92.9376,856,748
Bihar,3296,1211,15,2020-05-29,25.0961,85.3131,3296,2070
Chandigarh,288,189,4,2020-05-29,30.7333,76.7794,288,95
Chhattisgarh,399,83,0,2020-05-29,21.2787,81.8661,399,316
Dadar Nagar Haveli,2,0,0,2020-05-29,,,2,2
Delhi,16281,7495,316,2020-05-29,28.7041,77.1025,16281,8470
Goa,69,38,0,2020-05-29,15.2993,74.124,69,31
Gujarat,15562,8003,960,2020-05-29,22.2587,71.1924,15562,6599
Haryana,1504,881,19,2020-05-29,29.0588,76.0856,1504,604
Himachal Pradesh,276,70,5,2020-05-29,31.1048,77.1734,276,201
Jammu and Kashmir,2036,859,27,2020-05-29,33.7782,76.5762,2036,1150
Jharkhand,469,212,4,2020-05-29,23.6102,85.2799,469,253
Karnataka,2533,834,47,2020-05-29,15.3173,75.7139,2533,1652
Kerala,1088,555,7,2020-05-29,10.8505,76.2711,1088,526
Ladakh,73,43,0,2020-05-29,34.2996,78.2932,73,30
Madhya Pradesh,7453,4050,321,2020-05-29,22.9734,78.6569,7453,3082
Maharashtra,59546,18616,1982,2020-05-29,19.7515,75.7139,59546,38948
Manipur,55,5,0,2020-05-29,24.6637,93.9063,55,50
Meghalaya,21,12,1,2020-05-29,25.467,91.3662,21,8
Mizoram,1,1,0,2020-05-29,23.1645,92.9376,1,0
Nagaland,18,0,0,2020-05-29,,,18,18
Odisha,1660,887,0,2020-05-29,20.9517,85.0985,1660,773
Puducherry,51,14,0,2020-05-29,11.9416,79.8083,51,37
Punjab,2158,1946,40,2020-05-29,31.1471,75.3412,2158,172
Rajasthan,8067,4817,180,2020-05-29,27.0238,74.2179,8067,3070
Sikkim,1,0,0,2020-05-29,,,1,1
Tamil Nadu,19372,10548,145,2020-05-29,11.1271,78.6569,19372,8679
Telengana,2256,1345,67,2020-05-29,18.1124,79.0193,2256,844
Tripura,242,167,0,2020-05-29,23.9408,91.9882,242,75
Uttar Pradesh,7170,4215,197,2020-05-29,26.8467,80.9462,7170,2758
Uttarakhand,500,79,4,2020-05-29,30.0668,79.0193,500,417
West Bengal,4536,1668,295,2020-05-29,22.9868,87.855,4536,2573
